keyword,knowledge,category
"营业收入","none","none"
"营收","营业收入","none"
"净利润","none","none"
"归母净利润","none","none"
"每股收益","none","none"
"市盈率","none","none"
"净资产收益率","none","none"

"人工智能","none","none"
"大数据","none","none"
"云计算","none","none"
"市占率","none","none"
"增长率","none","none"

"一季报","none","none"
"二季报","none","none"
"三季报","none","none"
"四季报","none","none"

"430017","星昊医药","ashare"
"430047","诺思兰德","ashare"
"430090","同辉信息","ashare"
"430139","华岭股份","ashare"
"430198","微创光电","ashare"
"430300","辰光医疗","ashare"
"430418","苏轴股份","ashare"
"430425","乐创技术","ashare"
"430476","海能技术","ashare"
"430478","峆一药业","ashare"
"430489","佳先股份","ashare"
"430510","丰光精密","ashare"
"430556","雅达股份","ashare"
"430564","天润科技","ashare"
"430685","新芝生物","ashare"
"430718","合肥高科","ashare"
"830779","武汉蓝电","ashare"
"830799","艾融软件","ashare"
"830809","安达科技","ashare"
"830832","齐鲁华信","ashare"
"830839","万通液压","ashare"
"830879","基康仪器","ashare"
"830896","旺成科技","ashare"
"830946","森萱医药","ashare"
"830964","润农节水","ashare"
"830974","凯大催化","ashare"
"831010","凯添燃气","ashare"
"831039","国义招标","ashare"
"831087","秋乐种业","ashare"
"831152","昆工科技","ashare"
"831167","鑫汇科","ashare"
"831175","派诺科技","ashare"
"831195","三祥科技","ashare"
"831278","泰德股份","ashare"
"831304","迪尔化工","ashare"
"831305","海希通讯","ashare"
"831370","新安洁","ashare"
"831396","许昌智能","ashare"
"831445","龙竹科技","ashare"
"831526","凯华材料","ashare"
"831627","力王股份","ashare"
"831641","格利尔","ashare"
"831689","克莱特","ashare"
"831726","朱老六","ashare"
"831768","拾比佰","ashare"
"831832","科达自控","ashare"
"831834","三维股份","ashare"
"831855","浙江大农","ashare"
"831856","浩淼科技","ashare"
"831906","舜宇精工","ashare"
"831961","创远信科","ashare"
"832000","安徽凤凰","ashare"
"832023","田野股份","ashare"
"832089","禾昌聚合","ashare"
"832110","雷特科技","ashare"
"832145","恒合股份","ashare"
"832149","利尔达","ashare"
"832171","志晟信息","ashare"
"832175","东方碳素","ashare"
"832225","利通科技","ashare"
"832278","鹿得医疗","ashare"
"832419","路斯股份","ashare"
"832469","富恒新材","ashare"
"832471","美邦科技","ashare"
"832491","奥迪威","ashare"
"832522","纳科诺尔","ashare"
"832566","梓橦宫","ashare"
"832651","天罡股份","ashare"
"832662","方盛股份","ashare"
"832735","德源药业","ashare"
"832786","骑士乳业","ashare"
"832802","保丽洁","ashare"
"832876","慧为智能","ashare"
"832885","星辰科技","ashare"
"832978","开特股份","ashare"
"832982","锦波生物","ashare"
"833030","立方控股","ashare"
"833075","柏星龙","ashare"
"833171","国航远洋","ashare"
"833230","欧康医药","ashare"
"833266","生物谷","ashare"
"833284","灵鸽科技","ashare"
"833346","威贸电子","ashare"
"833394","民士达","ashare"
"833427","华维设计","ashare"
"833429","康比特","ashare"
"833454","同心传动","ashare"
"833455","汇隆活塞","ashare"
"833509","同惠电子","ashare"
"833523","德瑞锂电","ashare"
"833533","骏创科技","ashare"
"833575","康乐卫士","ashare"
"833580","科创新材","ashare"
"833751","惠同新材","ashare"
"833781","瑞奇智造","ashare"
"833819","颖泰生物","ashare"
"833873","中设咨询","ashare"
"833914","远航精密","ashare"
"833943","优机股份","ashare"
"834014","特瑞斯","ashare"
"834021","流金科技","ashare"
"834033","康普化学","ashare"
"834058","华洋赛车","ashare"
"834062","科润智控","ashare"
"834261","一诺威","ashare"
"834407","驰诚股份","ashare"
"834415","恒拓开源","ashare"
"834475","三友科技","ashare"
"834599","同力股份","ashare"
"834639","晨光电缆","ashare"
"834682","球冠电缆","ashare"
"834765","美之高","ashare"
"834770","艾能聚","ashare"
"834950","迅安科技","ashare"
"835174","五新隧装","ashare"
"835179","凯德石英","ashare"
"835184","国源科技","ashare"
"835185","贝特瑞","ashare"
"835207","众诚科技","ashare"
"835237","力佳科技","ashare"
"835305","云创数据","ashare"
"835368","连城数控","ashare"
"835438","戈碧迦","ashare"
"835508","殷图网联","ashare"
"835579","机科股份","ashare"
"835640","富士达","ashare"
"835670","数字人","ashare"
"835857","百甲科技","ashare"
"835892","中科美菱","ashare"
"835985","海泰新能","ashare"
"836077","吉林碳谷","ashare"
"836149","旭杰科技","ashare"
"836208","青矩技术","ashare"
"836221","易实精密","ashare"
"836239","长虹能源","ashare"
"836247","华密新材","ashare"
"836260","中寰股份","ashare"
"836263","中航泰达","ashare"
"836270","天铭科技","ashare"
"836395","朗鸿科技","ashare"
"836414","欧普泰","ashare"
"836419","万德股份","ashare"
"836422","润普食品","ashare"
"836433","大唐药业","ashare"
"836504","博迅生物","ashare"
"836547","无锡晶海","ashare"
"836675","秉扬科技","ashare"
"836699","海达尔","ashare"
"836717","瑞星股份","ashare"
"836720","吉冈精密","ashare"
"836807","奔朗新材","ashare"
"836826","盖世食品","ashare"
"836871","派特尔","ashare"
"836892","广咨国际","ashare"
"836942","恒立钻具","ashare"
"836957","汉维科技","ashare"
"836961","西磁科技","ashare"
"837006","晟楠科技","ashare"
"837023","芭薇股份","ashare"
"837046","亿能电力","ashare"
"837092","汉鑫科技","ashare"
"837174","宏裕包材","ashare"
"837212","智新电子","ashare"
"837242","建邦科技","ashare"
"837344","三元基因","ashare"
"837403","康农种业","ashare"
"837592","华信永道","ashare"
"837663","明阳科技","ashare"
"837748","路桥信息","ashare"
"837821","则成电子","ashare"
"838030","德众汽车","ashare"
"838163","方大新材","ashare"
"838171","邦德股份","ashare"
"838227","美登科技","ashare"
"838262","太湖雪","ashare"
"838275","驱动力","ashare"
"838402","硅烷科技","ashare"
"838670","恒进感应","ashare"
"838701","豪声电子","ashare"
"838810","春光药装","ashare"
"838837","华原股份","ashare"
"838924","广脉科技","ashare"
"838971","天马新材","ashare"
"839167","同享科技","ashare"
"839273","一致魔芋","ashare"
"839371","欧福蛋业","ashare"
"839493","并行科技","ashare"
"839680","广道数字","ashare"
"839719","宁新新材","ashare"
"839725","惠丰钻石","ashare"
"839729","永顺生物","ashare"
"839790","联迪信息","ashare"
"839792","东和新材","ashare"
"839946","华阳变速","ashare"
"870199","倍益康","ashare"
"870204","沪江材料","ashare"
"870299","灿能电力","ashare"
"870357","雅葆轩","ashare"
